 In this file all energies are in cm-1, temperatures  in K,
 lengths in Angstroms, and angles in degrees

 *** Intermediate TS results for: 
  effective state 1 in electronic state  1 of channel  1 ***

 Ndag for J =    2
     E     Ndag(E,J) IRdag   
      0.0 0.6192E-01    1
     50.0 0.8607E-01    1
    100.0 0.1173        1
    150.0 0.1565        1
    200.0 0.2057        1
    250.0 0.2667        1
    300.0 0.3441        1
    350.0 0.4394        1
    400.0 0.5567        1
    450.0 0.6987        1
    500.0 0.8693        1
    550.0  1.072        1
    600.0  1.308        1
    650.0  1.583        1
    700.0  1.899        1
    750.0  2.259        1
    800.0  2.666        1
    850.0  3.123        1
    900.0  3.630        1
    950.0  4.191        1
   1000.0  4.808        1
   1050.0  5.484        1
   1100.0  6.222        1
   1150.0  7.027        1
   1200.0  7.902        1
   1250.0  8.849        1
   1300.0  9.876        1
   1350.0  10.99        1
   1400.0  12.18        1
   1450.0  13.47        1
   1500.0  14.85        1
   1550.0  16.33        1
   1600.0  17.91        1
   1650.0  19.59        1
   1700.0  21.38        1
   1750.0  23.28        1
   1800.0  25.29        1
   1850.0  27.42        1
   1900.0  29.67        1
   1950.0  32.06        1
   2000.0  34.58        1
   2050.0  37.25        1
   2100.0  40.06        1
   2150.0  43.03        1
   2200.0  46.17        1
   2250.0  49.48        1
   2300.0  52.96        1
   2350.0  56.63        1
   2400.0  60.49        1
   2450.0  64.55        1
   2500.0  68.80        1
   2550.0  73.26        1
   2600.0  77.94        1
   2650.0  82.83        1
   2700.0  87.94        1
   2750.0  93.28        1
   2800.0  98.85        1
   2850.0  104.7        1
   2900.0  110.7        1
   2950.0  117.1        1
   3000.0  123.6        1
   3050.0  130.5        1
   3100.0  137.7        1
   3150.0  145.1        1
   3200.0  152.8        1
   3250.0  160.9        1
   3300.0  169.2        1
   3350.0  177.8        1
   3400.0  186.8        1
   3450.0  196.1        1
   3500.0  205.7        1
   3550.0  215.7        1
   3600.0  226.0        1
   3650.0  236.7        1
   3700.0  247.8        1
   3750.0  259.2        1
   3800.0  271.0        1
   3850.0  283.2        1
   3900.0  295.9        1
   3950.0  309.0        1
   4000.0  322.5        1
   4050.0  336.5        1
   4100.0  350.9        1
   4150.0  365.8        1
   4200.0  381.2        1
   4250.0  397.2        1
   4300.0  413.6        1
   4350.0  430.5        1
   4400.0  448.0        1
   4450.0  466.0        1
   4500.0  484.6        1
   4550.0  503.8        1
   4600.0  523.5        1
   4650.0  543.9        1
   4700.0  564.8        1
   4750.0  586.5        1
   4800.0  608.7        1
   4850.0  631.6        1
   4900.0  655.2        1
   4950.0  679.4        1
   5000.0  704.4        1
   5050.0  730.1        1
   5100.0  756.4        1
   5150.0  783.6        1
   5200.0  811.4        1
   5250.0  840.1        1
   5300.0  869.5        1
   5350.0  899.7        1
   5400.0  930.7        1
   5450.0  962.6        1
   5500.0  995.2        1
   5550.0  1029.        1
   5600.0  1063.        1
   5650.0  1099.        1
   5700.0  1135.        1
   5750.0  1172.        1
   5800.0  1210.        1
   5850.0  1249.        1
   5900.0  1289.        1
   5950.0  1331.        1
   6000.0  1373.        1
   6050.0  1416.        1
   6100.0  1460.        1
   6150.0  1506.        1
   6200.0  1552.        1
   6250.0  1600.        1
   6300.0  1649.        1
   6350.0  1698.        1
   6400.0  1750.        1
   6450.0  1802.        1
   6500.0  1855.        1
   6550.0  1910.        1
   6600.0  1966.        1
   6650.0  2024.        1
   6700.0  2082.        1
   6750.0  2142.        1
   6800.0  2203.        1
   6850.0  2266.        1
   6900.0  2330.        1
   6950.0  2396.        1
   7000.0  2462.        1
   7050.0  2531.        1
   7100.0  2601.        1
   7150.0  2672.        1
   7200.0  2745.        1
   7250.0  2819.        1
   7300.0  2895.        1
   7350.0  2973.        1
   7400.0  3052.        1
   7450.0  3133.        1
   7500.0  3215.        1
   7550.0  3299.        1
   7600.0  3385.        1
   7650.0  3473.        1
   7700.0  3562.        1
   7750.0  3653.        1
   7800.0  3746.        1
   7850.0  3841.        1
   7900.0  3938.        1
   7950.0  4037.        1
   8000.0  4138.        1
   8050.0  4240.        1
   8100.0  4345.        1
   8150.0  4452.        1
