
 ***** Partition function results *****

 Temp Q_Fragments  Q_TS   (Monte Carlo err)
  (K)    (cm-3)            (%; 0==>quadrature)
  200. 0.535E+28  125.       0.0
  210. 0.651E+28  142.       0.0
  220. 0.785E+28  163.       0.0
  230. 0.938E+28  186.       0.0
  240. 0.111E+29  212.       0.0
  250. 0.131E+29  242.       0.0
  260. 0.153E+29  276.       0.0
  270. 0.178E+29  314.       0.0
  280. 0.206E+29  356.       0.0
  290. 0.236E+29  404.       0.0
  300. 0.270E+29  457.       0.0
  310. 0.308E+29  517.       0.0
  320. 0.349E+29  583.       0.0
  330. 0.394E+29  656.       0.0
  340. 0.442E+29  737.       0.0
  350. 0.496E+29  827.       0.0
  360. 0.553E+29  925.       0.0
  370. 0.616E+29 0.103E+04   0.0
  380. 0.683E+29 0.115E+04   0.0
  390. 0.756E+29 0.128E+04   0.0
  400. 0.834E+29 0.143E+04   0.0
  410. 0.917E+29 0.158E+04   0.0
  420. 0.101E+30 0.175E+04   0.0
  430. 0.110E+30 0.194E+04   0.0
  440. 0.120E+30 0.214E+04   0.0
  450. 0.131E+30 0.235E+04   0.0
  460. 0.143E+30 0.259E+04   0.0
  470. 0.155E+30 0.284E+04   0.0
  480. 0.168E+30 0.311E+04   0.0
  490. 0.182E+30 0.341E+04   0.0
  500. 0.197E+30 0.373E+04   0.0
  510. 0.212E+30 0.407E+04   0.0
  520. 0.229E+30 0.443E+04   0.0
  530. 0.246E+30 0.483E+04   0.0
  540. 0.264E+30 0.525E+04   0.0
  550. 0.283E+30 0.570E+04   0.0
  560. 0.303E+30 0.618E+04   0.0
  570. 0.324E+30 0.669E+04   0.0
  580. 0.346E+30 0.724E+04   0.0
  590. 0.369E+30 0.783E+04   0.0
  600. 0.393E+30 0.845E+04   0.0
  610. 0.419E+30 0.911E+04   0.0
  620. 0.445E+30 0.981E+04   0.0
  630. 0.473E+30 0.106E+05   0.0
  640. 0.502E+30 0.114E+05   0.0
  650. 0.532E+30 0.122E+05   0.0
  660. 0.563E+30 0.131E+05   0.0
  670. 0.596E+30 0.140E+05   0.0
  680. 0.630E+30 0.150E+05   0.0
  690. 0.666E+30 0.161E+05   0.0
  700. 0.703E+30 0.172E+05   0.0
  800. 0.116E+31 0.321E+05   0.0
  900. 0.180E+31 0.563E+05   0.0
 1000. 0.266E+31 0.936E+05   0.0
 1100. 0.380E+31 0.149E+06   0.0
 1200. 0.527E+31 0.229E+06   0.0
 1300. 0.712E+31 0.341E+06   0.0
 1400. 0.943E+31 0.495E+06   0.0
 1500. 0.123E+32 0.703E+06   0.0
 1600. 0.157E+32 0.978E+06   0.0
 1700. 0.199E+32 0.134E+07   0.0
 1800. 0.249E+32 0.180E+07   0.0
 1900. 0.308E+32 0.239E+07   0.0
 2000. 0.378E+32 0.313E+07   0.0
 2100. 0.459E+32 0.405E+07   0.0
 2200. 0.554E+32 0.518E+07   0.0
 2300. 0.664E+32 0.657E+07   0.0
 2400. 0.791E+32 0.826E+07   0.0
 2500. 0.936E+32 0.103E+08   0.0
 2600. 0.110E+33 0.127E+08   0.0
 2700. 0.129E+33 0.156E+08   0.0
 2800. 0.150E+33 0.190E+08   0.0
 2900. 0.175E+33 0.230E+08   0.0
 3000. 0.202E+33 0.276E+08   0.0
