    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    9.64631e+06              0              0    2.07223e-32
              1    4.81044e+07              0    1.20796e+12     4.1378e-30
              2    1.54532e+08              0    4.54011e+12    2.50132e-28
              3    3.77143e+08              0    1.09813e+13    9.34757e-27
              4    8.09519e+08              0    2.11849e+13    2.46846e-25
              5    1.55952e+09              0    3.67446e+13    5.19351e-24
              6    2.79465e+09              0    5.92227e+13    9.11994e-23
              7    4.73038e+09              0    9.08392e+13     1.3881e-21
              8    7.65075e+09              0    1.34172e+14     1.8778e-20
              9     1.1935e+10              0    1.92103e+14    2.29683e-19
             10    1.80238e+10              0    2.68727e+14    2.58188e-18
             11    2.65126e+10              0    3.68139e+14    2.69211e-17
             12    3.80809e+10              0    4.95952e+14    2.62943e-16
             13    5.35867e+10              0    6.58266e+14    2.42159e-15
             14    7.40454e+10              0     8.6245e+14    2.11523e-14
             15    1.00655e+11              0    1.11718e+15    1.76111e-13
             16    1.34858e+11              0    1.43223e+15    1.40305e-12
             17     1.7829e+11              0     1.8195e+15    1.07363e-11
             18    2.32901e+11              0    2.29216e+15    7.91385e-11
             19    3.00901e+11              0    2.86585e+15    5.63457e-10
             20    3.84843e+11              0    3.55832e+15    3.88396e-09
             21    4.87652e+11              0    4.38978e+15    2.59725e-08
             22    6.12615e+11              0    5.38365e+15    1.68807e-07
             23    7.63497e+11              0    6.56609e+15    1.06807e-06
             24    9.44484e+11              0    7.96733e+15    6.58863e-06
             25    1.16031e+12              0    9.62121e+15    3.96779e-05
             26    1.41624e+12              0    1.15662e+16    0.000233554
             27    1.71813e+12              0    1.38455e+16     0.00134522
             28    2.07253e+12              0    1.65076e+16     0.00758921
             29    2.48661e+12              0    1.96074e+16      0.0419764
             30    2.96835e+12              0    2.32056e+16       0.227815
             31    3.52648e+12              0    2.73707e+16        1.21415
             32     4.1706e+12              0    3.21789e+16        6.35907
             33    4.91124e+12              0    3.77148e+16        32.7513
             34    5.75985e+12              0     4.4073e+16        165.971
             35    6.72898e+12              0    5.13577e+16        827.804
             36    7.83219e+12              0    5.96849e+16        4059.42
             37     9.0843e+12              0    6.91827e+16        19422.9
             38    1.05013e+13              0    7.99926e+16        87563.5
             39    1.21004e+13              0    9.22707e+16         340446
             40    1.39005e+13              0    1.06188e+17    1.06677e+06
             41    1.59215e+13              0    1.21935e+17    2.74544e+06
             42    1.81852e+13              0    1.39717e+17    6.04924e+06
             43    2.07148e+13              0    1.59763e+17    1.18319e+07
             44    2.35354e+13              0    1.82322e+17    2.11196e+07
             45    2.66737e+13              0    2.07665e+17    3.51065e+07
             46    3.01584e+13              0    2.36091e+17    5.51351e+07
             47      3.402e+13              0    2.67924e+17    8.26672e+07
             48    3.82911e+13              0    3.03519e+17    1.19248e+08
             49    4.30068e+13              0    3.43261e+17    1.66479e+08
             50    4.82039e+13              0    3.87569e+17    2.25997e+08
             51    5.39219e+13              0    4.36899e+17    2.99454e+08
             52    6.02028e+13              0    4.91745e+17    3.88492e+08
             53     6.7091e+13              0    5.52644e+17    4.94722e+08
             54    7.46336e+13              0    6.16291e+17    6.19701e+08
             55    8.28806e+13              0    6.70592e+17    7.64929e+08
             56    9.18849e+13              0    7.12649e+17    9.31832e+08
             57    1.01702e+14              0    7.99075e+17    1.12175e+09
             58    1.12392e+14              0    8.30099e+17    1.33595e+09
             59    1.24016e+14              0    9.26318e+17    1.57558e+09
             60     1.3664e+14              0    9.54314e+17    1.84171e+09
             61    1.50334e+14              0    1.01213e+18    2.13529e+09
             62     1.6517e+14              0     1.0734e+18     2.4572e+09
             63    1.81225e+14              0    1.15834e+18    2.80818e+09
             64     1.9858e+14              0    1.19442e+18    3.18891e+09
             65     2.1732e+14              0    1.21004e+18    3.59995e+09
             66    2.37533e+14              0    1.34817e+18    4.04178e+09
             67    2.59314e+14              0    1.28643e+18    4.51478e+09
             68    2.82759e+14              0    1.33064e+18    5.01926e+09
             69    3.07971e+14              0    1.38325e+18    5.55542e+09
             70    3.35059e+14              0    1.38032e+18    6.12342e+09
             71    3.64134e+14              0     1.4426e+18    6.72331e+09
             72    3.95314e+14              0    1.43343e+18     7.3551e+09
             73    4.28722e+14              0    1.48553e+18    8.01873e+09
             74    4.64487e+14              0    1.50353e+18    8.71406e+09
             75    5.02742e+14              0    1.48443e+18    9.44093e+09
             76    5.43628e+14              0    1.60028e+18    1.01991e+10
             77    5.87291e+14              0    1.52174e+18    1.09883e+10
             78    6.33884e+14              0    1.54157e+18    1.18081e+10
             79    6.83564e+14              0    1.60235e+18    1.26584e+10
             80    7.36497e+14              0     1.5632e+18    1.35385e+10
             81    7.92856e+14              0    1.59943e+18    1.44482e+10
             82     8.5282e+14              0    1.59833e+18    1.53869e+10
             83    9.16574e+14              0    1.61758e+18    1.63542e+10
             84    9.84313e+14              0    1.59244e+18    1.73496e+10
             85    1.05624e+15              0     1.5967e+18    1.83726e+10
             86    1.13256e+15              0    1.62918e+18    1.94225e+10
             87    1.21349e+15              0    1.56877e+18    2.04989e+10
             88    1.29926e+15              0    1.60068e+18    2.16012e+10
             89     1.3901e+15              0    1.59599e+18    2.27287e+10
             90    1.48626e+15              0    1.56697e+18     2.3881e+10
             91    1.58798e+15              0    1.57476e+18    2.50574e+10
             92    1.69553e+15              0     1.5677e+18    2.62573e+10
             93    1.80918e+15              0    1.58193e+18    2.74802e+10
             94     1.9292e+15              0    1.54012e+18    2.87253e+10
             95    2.05589e+15              0    1.54538e+18    2.99921e+10
             96    2.18955e+15              0    1.55777e+18    3.12801e+10
             97    2.33048e+15              0    1.50244e+18    3.25885e+10
             98    2.47901e+15              0    1.53162e+18    3.39168e+10
             99    2.63547e+15              0    1.51944e+18    3.52644e+10
            100     2.8002e+15              0    1.48573e+18    3.66307e+10
    E, kcal/mol    D, mol/kcal         W2->W1         W2->P1         W2->P2
