========================================
singlet_B7_Energy_1_34.9759.out
0.1 atm
T,P1->W3
200.0,1.72695e-13
210.0,1.42011e-13
220.0,1.17548e-13
230.0,9.79965e-14
240.0,8.21906e-14
250.0,6.93703e-14
260.0,5.88231e-14
270.0,5.02153e-14
280.0,4.30433e-14
290.0,3.70319e-14
300.0,3.20582e-14
310.0,2.78349e-14
320.0,2.42566e-14
330.0,2.11972e-14
340.0,1.8641e-14
350.0,1.64274e-14
360.0,1.45365e-14
370.0,1.29277e-14
380.0,1.14618e-14
390.0,1.02922e-14
400.0,9.21101e-15
410.0,8.32609e-15
420.0,7.57118e-15
430.0,6.86961e-15
440.0,6.17982e-15
450.0,5.66278e-15
460.0,5.09064e-15
470.0,4.66857e-15
480.0,4.2442e-15
490.0,3.82893e-15
500.0,3.4838e-15
510.0,3.15482e-15
520.0,2.90471e-15
530.0,2.65688e-15
540.0,2.4027e-15
550.0,2.1752e-15
560.0,1.99424e-15
570.0,1.81133e-15
580.0,1.64678e-15
590.0,1.51446e-15
600.0,1.37898e-15
610.0,1.25396e-15
620.0,1.14731e-15
630.0,1.04842e-15
640.0,9.62217e-16
650.0,8.89919e-16
660.0,8.19335e-16
670.0,7.57518e-16
680.0,7.0192e-16
690.0,6.42983e-16
700.0,5.99361e-16
800.0,3.18634e-16
900.0,2.11504e-16
1000.0,1.91918e-16
1100.0,2.39488e-16
1200.0,3.08777e-16
1300.0,3.27417e-16
1400.0,4.36025e-16
1500.0,4.58896e-16
1600.0,5.57134e-16
1700.0,6.38605e-16
1800.0,6.56149e-16
1900.0,8.00515e-16
2000.0,8.68547e-16
2100.0,9.63065e-16
2200.0,9.32862e-16
2300.0,1.05544e-15
2400.0,1.04509e-15
2500.0,1.19202e-15
2600.0,1.24347e-15
2700.0,1.2355e-15
2800.0,1.2265e-15
2900.0,1.2159e-15
3000.0,1.20288e-15
========================================
singlet_B7_Energy_1_34.9759.out
0.5 atm
T,P1->W3
200.0,5.90847e-13
210.0,4.94618e-13
220.0,4.16382e-13
230.0,3.52616e-13
240.0,3.0019e-13
250.0,2.56792e-13
260.0,2.20698e-13
270.0,1.90545e-13
280.0,1.6517e-13
290.0,1.43722e-13
300.0,1.25571e-13
310.0,1.10034e-13
320.0,9.6721e-14
330.0,8.52909e-14
340.0,7.55542e-14
350.0,6.70049e-14
360.0,5.96784e-14
370.0,5.3385e-14
380.0,4.76356e-14
390.0,4.294e-14
400.0,3.86697e-14
410.0,3.51047e-14
420.0,3.19804e-14
430.0,2.91267e-14
440.0,2.62626e-14
450.0,2.40763e-14
460.0,2.17594e-14
470.0,1.99685e-14
480.0,1.81389e-14
490.0,1.64198e-14
500.0,1.49671e-14
510.0,1.35672e-14
520.0,1.2477e-14
530.0,1.1393e-14
540.0,1.0343e-14
550.0,9.39438e-15
560.0,8.60337e-15
570.0,7.82806e-15
580.0,7.13529e-15
