    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    1.19251e+07              0              0    3.85998e-32
              1    5.48725e+07              0    1.05897e+12    2.01426e-30
              2    1.70606e+08              0    4.11234e+12    4.26869e-29
              3     4.0943e+08              0    1.01153e+13    6.36875e-28
              4    8.67593e+08              0    1.97669e+13    7.33914e-27
              5    1.65878e+09              0    3.45458e+13    7.15781e-26
              6    2.95167e+09              0    5.60723e+13    6.12006e-25
              7    4.97354e+09              0     8.6398e+13    4.70577e-24
              8    8.01042e+09              0    1.28148e+14     3.3201e-23
              9    1.24544e+10              0    1.84092e+14    2.17429e-22
             10    1.87546e+10              0    2.58255e+14    1.33866e-21
             11    2.75171e+10              0      3.547e+14    7.79869e-21
             12    3.94402e+10              0    4.78858e+14    4.33041e-20
             13    5.53898e+10              0    6.36837e+14    2.30328e-19
             14    7.64088e+10              0    8.35773e+14    1.17831e-18
             15    1.03708e+11              0    1.08429e+15    5.81992e-18
             16    1.38756e+11              0      1.392e+15    2.78298e-17
             17    1.83214e+11              0    1.77059e+15      1.292e-16
             18    2.39058e+11              0    2.23313e+15    5.83556e-16
             19    3.08534e+11              0    2.79495e+15    2.56945e-15
             20    3.94223e+11              0    3.47366e+15    1.10479e-14
             21    4.99094e+11              0    4.28915e+15    4.64553e-14
             22    6.26471e+11              0    5.26457e+15    1.91297e-13
             23    7.80166e+11              0     6.4258e+15    7.72324e-13
             24    9.64418e+11              0    7.80265e+15    3.06049e-12
             25      1.184e+12              0    9.42867e+15    1.19152e-11
             26    1.44426e+12              0    1.13418e+16    4.56154e-11
             27    1.75109e+12              0    1.35848e+16    1.71861e-10
             28    2.11113e+12              0    1.62058e+16    6.37688e-10
             29     2.5316e+12              0    1.92589e+16    2.33188e-09
             30    3.02057e+12              0    2.28044e+16    8.40882e-09
             31    3.58686e+12              0      2.691e+16     2.9919e-08
             32    4.24014e+12              0    3.16512e+16    1.05093e-07
             33    4.99105e+12              0    3.71118e+16    3.64605e-07
             34    5.85112e+12              0    4.33855e+16    1.24997e-06
             35    6.83303e+12              0    5.05756e+16    4.23631e-06
             36    7.95045e+12              0    5.87972e+16    1.41991e-05
             37     9.2183e+12              0    6.81771e+16    4.70849e-05
             38    1.06527e+13              0    7.88555e+16    0.000154526
             39    1.22711e+13              0    9.09875e+16    0.000502073
             40    1.40923e+13              0    1.04743e+17     0.00161551
             41    1.61366e+13              0     1.2031e+17     0.00514944
             42    1.84258e+13              0    1.37893e+17      0.0162643
             43    2.09834e+13              0    1.57719e+17      0.0509158
             44    2.38345e+13              0    1.80034e+17       0.158022
             45    2.70061e+13              0    2.05109e+17       0.486335
             46     3.0527e+13              0     2.3324e+17        1.48457
             47    3.44281e+13              0    2.64748e+17        4.49579
             48    3.87421e+13              0    2.99986e+17        13.5095
             49    4.35042e+13              0    3.39336e+17        40.2883
             50    4.87516e+13              0    3.83215e+17         119.26
             51     5.4524e+13              0    4.32075e+17        350.445
             52    6.08635e+13              0    4.86407e+17        1022.12
             53     6.7815e+13              0    5.46744e+17        2956.85
             54    7.54257e+13              0    6.09819e+17        8463.17
             55    8.37461e+13              0    6.63662e+17        23801.3
             56    9.28291e+13              0      7.054e+17        64743.8
             57    1.02731e+14              0    7.91073e+17         166254
             58    1.13511e+14              0    8.21914e+17         394554
             59    1.25232e+14              0    9.17322e+17         858563
             60     1.3796e+14              0    9.45183e+17    1.71946e+06
             61    1.51765e+14              0    1.00258e+18    3.19887e+06
             62    1.66719e+14              0    1.06343e+18     5.5856e+06
             63    1.82901e+14              0    1.14772e+18    9.23997e+06
             64    2.00391e+14              0    1.18363e+18    1.45951e+07
             65    2.19274e+14              0    1.19926e+18    2.21563e+07
             66    2.39639e+14              0    1.33632e+18     3.2499e+07
             67    2.61582e+14              0    1.27527e+18    4.62655e+07
             68    2.85199e+14              0    1.31926e+18    6.41598e+07
             69    3.10594e+14              0    1.37157e+18    8.69415e+07
             70    3.37875e+14              0    1.36882e+18    1.15419e+08
             71    3.67155e+14              0    1.43073e+18    1.50444e+08
             72    3.98552e+14              0    1.42179e+18    1.92903e+08
             73     4.3219e+14              0    1.47361e+18    2.43708e+08
             74    4.68198e+14              0    1.49161e+18    3.03797e+08
             75     5.0671e+14              0    1.47281e+18    3.74116e+08
             76    5.47867e+14              0     1.5879e+18    4.55622e+08
             77    5.91816e+14              0    1.51011e+18    5.49271e+08
             78     6.3871e+14              0    1.52992e+18    6.56016e+08
             79    6.88708e+14              0    1.59038e+18    7.76799e+08
             80    7.41976e+14              0    1.55166e+18    9.12547e+08
             81    7.98687e+14              0    1.58776e+18    1.06417e+09
             82    8.59021e+14              0    1.58679e+18    1.23254e+09
             83    9.23165e+14              0    1.60603e+18    1.41853e+09
             84    9.91314e+14              0     1.5812e+18    1.62297e+09
             85    1.06367e+15              0    1.58554e+18    1.84664e+09
             86    1.14044e+15              0    1.61792e+18    2.09031e+09
             87    1.22185e+15              0    1.55804e+18    2.35471e+09
             88    1.30811e+15              0    1.58985e+18    2.64052e+09
             89    1.39948e+15              0    1.58531e+18    2.94839e+09
             90    1.49618e+15              0    1.55658e+18    3.27894e+09
             91    1.59847e+15              0    1.56443e+18    3.63273e+09
             92    1.70662e+15              0    1.55751e+18     4.0103e+09
             93    1.82089e+15              0    1.57176e+18    4.41213e+09
             94    1.94157e+15              0    1.53031e+18    4.83867e+09
             95    2.06894e+15              0    1.53564e+18    5.29035e+09
             96    2.20331e+15              0    1.54804e+18    5.76752e+09
             97    2.34499e+15              0    1.49315e+18    6.27052e+09
             98    2.49429e+15              0    1.52224e+18    6.79966e+09
             99    2.65156e+15              0    1.51022e+18    7.35518e+09
            100    2.81714e+15              0     1.4768e+18    7.93732e+09
