    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    1.39132e+07              0              0    1.96443e-28
              1    6.40206e+07              0     9.0765e+11    9.12663e-26
              2    1.99049e+08              0    3.52471e+12    1.36569e-23
              3    4.77688e+08              0    8.66992e+12    1.19267e-21
              4    1.01223e+09              0    1.69423e+13    7.05617e-20
              5    1.93533e+09              0    2.96094e+13    3.20159e-18
              6    3.44375e+09              0      4.806e+13    1.17774e-16
              7    5.80271e+09              0    7.40523e+13    3.65292e-15
              8    9.34587e+09              0    1.09837e+14    9.84312e-14
              9    1.45307e+10              0    1.57787e+14      2.348e-12
             10    2.18813e+10              0    2.21352e+14    5.05039e-11
             11    3.21046e+10              0    3.04016e+14    9.90309e-10
             12    4.60155e+10              0    4.10433e+14    1.78965e-08
             13    6.46242e+10              0    5.45838e+14    3.00455e-07
             14    8.91473e+10              0    7.16347e+14    4.71722e-06
             15    1.20997e+11              0    9.29356e+14    6.96749e-05
             16    1.61889e+11              0    1.19309e+15    0.000972633
             17    2.13759e+11              0    1.51759e+15      0.0128894
             18    2.78912e+11              0    1.91403e+15       0.162728
             19    3.59972e+11              0    2.39557e+15        1.96358
             20    4.59946e+11              0    2.97729e+15        22.7107
             21      5.823e+11              0    3.67626e+15        252.368
             22    7.30913e+11              0     4.5123e+15        2697.24
             23    9.10232e+11              0     5.5076e+15        27367.8
             24     1.1252e+12              0    6.68771e+15         231194
             25    1.38139e+12              0    8.08138e+15    1.12856e+06
             26    1.68504e+12              0    9.72111e+15    3.31146e+06
             27    2.04303e+12              0    1.16437e+16    7.43415e+06
             28    2.46308e+12              0    1.38901e+16    1.41576e+07
             29    2.95366e+12              0    1.65069e+16    2.42123e+07
             30    3.52415e+12              0    1.95458e+16    3.83272e+07
             31    4.18484e+12              0    2.30647e+16    5.72078e+07
             32    4.94704e+12              0    2.71284e+16    8.15234e+07
             33    5.82313e+12              0    3.18088e+16    1.11847e+08
             34     6.8266e+12              0     3.7186e+16    1.48692e+08
             35     7.9722e+12              0    4.33487e+16    1.92523e+08
             36    9.27591e+12              0    5.03955e+16    2.43729e+08
             37    1.07551e+13              0     5.8435e+16     3.0263e+08
             38    1.24287e+13              0    6.75876e+16    3.69456e+08
             39    1.43168e+13              0    7.79861e+16    4.44391e+08
             40    1.64417e+13              0     8.9776e+16    5.27552e+08
             41    1.88268e+13              0    1.03118e+17    6.19007e+08
             42    2.14977e+13              0    1.18189e+17    7.18773e+08
             43    2.44816e+13              0    1.35182e+17    8.26816e+08
             44    2.78081e+13              0    1.54308e+17    9.43063e+08
             45    3.15085e+13              0    1.75801e+17    1.06741e+09
             46    3.56164e+13              0    1.99912e+17    1.19972e+09
             47    4.01678e+13              0    2.26918e+17    1.33984e+09
             48     4.5201e+13              0     2.5712e+17    1.48758e+09
             49     5.0757e+13              0    2.90847e+17    1.64273e+09
             50    5.68792e+13              0    3.28456e+17    1.80508e+09
             51    6.36139e+13              0    3.70334e+17    1.97441e+09
             52    7.10104e+13              0    4.16903e+17    2.15046e+09
             53    7.91208e+13              0    4.68618e+17    2.33301e+09
             54    8.80004e+13              0     5.2268e+17    2.52178e+09
             55    9.77078e+13              0    5.68829e+17    2.71654e+09
             56    1.08305e+14              0    6.04604e+17    2.91703e+09
             57    1.19858e+14              0    6.78035e+17    3.12298e+09
             58    1.32435e+14              0    7.04468e+17    3.33416e+09
             59     1.4611e+14              0    7.86243e+17     3.5503e+09
             60     1.6096e+14              0    8.10123e+17    3.77115e+09
             61    1.77066e+14              0    8.59322e+17    3.99648e+09
             62    1.94514e+14              0    9.11469e+17    4.22605e+09
             63    2.13393e+14              0    9.83723e+17    4.45961e+09
             64    2.33799e+14              0     1.0145e+18    4.69694e+09
             65     2.5583e+14              0     1.0279e+18    4.93782e+09
             66    2.79591e+14              0    1.14537e+18    5.18203e+09
             67    3.05191e+14              0    1.09304e+18    5.42936e+09
